origin,dest,count
1935,521,43
1935,1935,9
1936,1936,21
1937,1322,26
1937,1714,30
1937,1791,4
1942,3784,10
1943,1943,10
1945,1945,14
1947,1991,9
1952,1952,11
1955,1955,12
1957,1815,10
1957,1905,6
1957,2894,5
1966,2653,6
1966,3536,11
1967,1798,19
1967,1957,5
1967,1992,71
1969,1948,9
1970,2268,2
1972,1972,3
1973,387,109
1973,1959,24
1973,2184,6
1973,2197,49
1973,3108,34
1974,1977,1
1983,1983,11
1986,1986,8
1988,268,36
1988,1877,9
1991,1817,74
1991,1845,10
1991,1947,7
1992,535,70
1992,1967,72
1992,1992,3
1992,2747,60
1993,1695,2
1993,2267,1
1993,2331,15
1996,1996,12
1999,18,79
1999,1523,2
1999,1663,42
1999,1999,7
1999,2123,75
1999,2201,89
2001,839,113
2001,2001,74
2007,2018,17
2009,2008,17
2011,2011,80
2011,2784,52
2012,2012,1
2014,1872,15
2014,2014,12
2021,2021,2
2023,860,66
2023,2023,33
2023,2026,8
2025,2025,4
2025,2598,45
2026,2023,9
2027,226,24
2027,339,43
2027,715,14
2027,2343,71
2029,2029,50
2031,3335,5
2038,2035,2
2041,2041,22
2042,2006,4
2044,2044,12
2047,3793,6
2049,917,33
2049,2045,7
2057,3362,25
2058,2058,7
2061,2019,20
2061,2062,5
2063,1725,27
2063,2063,12
2071,1516,126
2071,2113,67
2071,2216,14
2074,2074,4
2095,1613,39
2095,2114,40
2122,2123,57
2122,2176,1
2127,2127,70
2127,2128,91
2127,2159,102
2133,259,113
2133,866,113
2133,2183,2
2140,1669,1
2150,2149,3
2151,2151,1
2152,1859,40
2153,2073,59
2153,2153,102
2153,2169,100
2157,2210,4
2161,2161,7
2169,188,3
2169,1147,125
2169,1202,33
2169,1286,27
2169,1371,3
2169,1678,24
2169,2068,135
2169,2113,40
2169,2153,103
2169,2169,52
2169,2170,2
2169,2193,27
2176,1520,56
2176,2122,1
2176,2159,56
2176,2175,2
2180,742,2
2183,2133,2
2218,2126,10
2219,2326,1
2222,1364,49
2222,1438,3
2222,2223,1
2229,2267,5
2232,29,12
2232,2214,24
2232,2234,5
2232,2325,20
2240,169,109
2240,3793,3
2247,1754,118
2247,2247,1
2251,2284,1
2261,551,41
2267,1993,1
2267,2229,5
2267,2325,1
2268,1738,1
2271,2046,1
2271,2197,1
2271,2312,4
2271,2337,3
2271,2784,4
2271,3139,2
2278,2310,2
2281,114,29
2281,500,35
2281,706,25
2281,1272,53
2281,2325,3
2281,3362,2
2294,2338,3
2302,2329,2
2306,3378,12
2306,3793,74
2312,1647,36
2312,2271,4
2312,2313,4
2313,2210,4
2313,2295,1
2313,2312,4
2316,2338,1
2318,1776,29
2318,2321,2
2324,2295,1
2331,1677,46
2331,2175,20
2331,2325,38
2331,2332,8
2331,3355,20
2331,3362,17
2335,2295,2
2335,3277,4
2340,2339,1
2341,2341,3
2341,2343,3
2343,2027,76
2343,2341,3
2347,2346,1
2348,2342,2
2359,1980,21
2362,1999,79
2363,2784,16
2364,22,23
2369,702,7
2371,60,1
2371,952,1
2371,2337,1
2372,40,25
2373,42,25
2380,814,12
2382,3636,71
2383,2326,15
2384,59,13
2386,2326,13
2391,1008,1
2393,2001,2
2394,71,6
2395,72,6
2398,3621,9
2399,77,3
2401,2330,15
2402,2342,46
2407,2724,15
2411,2068,45
2416,99,2
2431,2160,2
2433,3026,26
2444,2326,4
2446,3362,9
2454,927,26
2454,1058,12
2454,1728,13
2454,1729,13
2454,1820,6
2460,170,2
2461,171,2
2463,2261,38
2465,2240,116
2467,384,2
2468,3028,45
2473,1840,2
2481,218,31
2486,232,67
2487,2306,67
2493,920,18
2494,237,52
2494,245,10
2504,267,106
2510,285,68
2512,2004,37
2514,523,47
2516,1572,63
2517,302,50
2521,1028,47
2522,3383,68
2527,1057,18
2532,655,48
2534,334,20
2537,2281,36
2543,351,45
2545,3335,53
2549,363,31
2550,366,51
2556,380,52
2557,384,72
2558,1756,46
2560,1975,22
2562,393,51
2563,2281,39
2564,2055,5
2566,591,53
2567,1973,112
2568,3534,65
2570,1537,41
2572,420,66
2574,860,54
2576,1254,45
2576,1567,91
2578,567,22
2581,2331,46
2585,496,46
2595,449,18
2595,2326,18
2598,38,237
2598,291,51
2598,343,44
2598,455,35
2598,1211,47
2598,1264,39
2598,1898,20
2598,2025,50
2603,466,27
2607,2023,23
2609,481,38
2611,486,20
2612,1757,87
2612,2325,1
2614,496,52
2616,502,43
2621,3362,16
2622,514,131
2622,3638,227
2623,515,46
2631,532,7
2641,545,7
2643,2028,28
2645,497,52
2645,552,47
2646,3536,24
2653,1887,66
2653,1966,6
2653,2049,35
2663,2064,24
2666,1815,65
2668,1337,42
2668,1480,8
2668,2094,48
2669,2071,12
2671,592,62
2674,1859,28
2675,1921,38
2680,603,24
2689,3362,1
2690,625,14
2695,952,5
2697,639,1
2697,1464,28
2697,1616,50
2697,1839,17
2702,646,6
2703,647,29
2707,656,47
2709,2148,11
2713,3712,109
2717,671,39
2722,1724,36
2724,86,15
2724,937,83
2724,1623,226
2724,2724,28
2724,3217,78
2725,360,25
2725,647,74
2725,684,69
2727,687,51
2728,1732,36
2729,2186,42
2737,700,38
2740,2214,41
2740,3481,34
2741,705,1
2741,839,84
2741,3226,54
2742,531,1
2742,706,2
2747,1445,16
2747,1622,38
2747,1992,57
2747,2182,27
2748,702,42
2748,2024,73
2749,3073,32
2750,718,3
2755,3246,28
2759,734,31
2762,739,114
2763,3481,70
2770,752,21
2771,2123,46
2772,754,52
2774,2325,48
2774,2338,14
2774,3362,45
2776,759,54
2776,2325,19
2779,1994,14
2781,505,4
2781,768,93
2784,21,16
2784,773,4
2784,2003,43
2784,2011,52
2784,2271,5
2784,2784,358
2788,2194,52
2789,780,20
2793,1835,36
2796,2094,104
2797,790,63
2797,1778,134
2797,2724,83
2799,959,1
2806,3241,61
2810,806,54
2812,809,7
2814,811,7
2815,2001,1
2815,2068,1
2815,2741,75
2815,2963,75
2816,814,75
2819,475,50
2819,820,66
2821,2094,48
2829,529,5
2829,1484,42
2831,607,27
2831,837,50
2831,1828,119
2842,852,6
2849,1280,28
2851,2095,68
2854,48,6
2854,831,18
2854,1809,29
2861,808,47
2861,880,1
2861,1859,4
2864,525,16
2864,883,6
2866,905,55
2866,1143,1
2866,1548,1
2866,2332,167
2866,2866,28
2873,2122,1
2873,2123,55
2873,2216,1
2877,3361,36
2878,952,42
2887,2155,55
2888,1992,58
2894,925,9
2894,1957,4
2894,2894,7
2901,933,2
2901,2095,46
2903,1775,26
2905,937,69
2906,2866,55
2910,943,12
2911,944,12
2911,3362,6
2914,948,33
2915,949,36
2915,1151,29
2915,1636,156
2916,1470,59
2916,2222,46
2917,1920,5
2917,2242,46
2919,953,1
2919,2094,113
2919,3702,2
2920,954,27
2923,1636,43
2924,743,47
2924,958,64
2924,1371,113
2924,1516,14
2924,2169,3
2929,1672,63
2935,980,28
2935,2110,35
2936,2159,2
2937,980,51
2938,2207,74
2940,984,38
2946,991,72
2948,1859,83
2948,2159,9
2948,3203,35
2954,1002,55
2956,1005,29
2961,2028,43
2963,839,91
2963,1340,2
2967,1020,92
2967,2967,35
2971,1028,43
2986,3073,39
2987,1197,35
2993,1058,48
2993,1962,38
2993,2454,12
2995,1067,28
2995,1238,28
2996,736,34
2996,1068,41
2996,1301,57
3000,1074,59
3001,1075,47
3003,1079,43
3005,738,3
3005,860,47
3005,1081,32
3005,1937,43
3011,1103,34
3011,2938,52
3011,3164,52
3017,762,51
3017,1093,49
3023,1103,55
3023,1386,82
3023,1591,53
3024,1638,43
3026,1111,98
3026,1859,30
3026,2261,37
3028,1090,45
3028,1234,52
3028,1637,44
3028,2182,28
3032,1154,41
3032,1636,25
3037,1129,1
3039,2281,16
3045,1144,54
3046,1145,9
3047,1401,4
3047,2118,4
3048,1149,71
3048,1900,107
3049,1893,144
3049,2008,17
3052,1155,39
3055,1159,5
3059,1164,29
3059,3784,53
3060,1165,65
3063,1498,47
3063,3246,49
3067,1553,8
3072,415,22
3072,516,67
3072,640,52
3072,1799,42
3072,2023,61
3072,3005,46
3073,271,123
3073,382,34
3073,1187,2
3073,2338,39
3073,3362,52
3073,3378,16
3076,1386,124
3076,2105,1
3076,2109,18
3076,2741,4
3082,921,50
3082,1153,33
3082,1202,42
3082,3226,39
3083,252,65
3083,407,62
3083,1207,26
3085,1212,33
3090,1219,28
3090,1830,37
3092,1637,41
3099,1235,51
3100,1636,27
3101,924,31
3101,1034,40
3101,1238,31
3101,1636,40
3101,2095,40
3101,2103,134
3101,3361,75
3102,1610,23
3102,1636,7
3102,2866,83
3105,1307,42
3105,2169,33
3106,1357,26
3108,1973,30
3108,2214,1
3108,2253,2
3108,3793,24
3112,1253,42
3114,2103,71
3114,2139,58
3118,1610,43
3119,2073,30
3139,1342,27
3139,2068,113
3139,2271,1
3140,1298,28
3140,1357,61
3140,1516,29
3140,1610,27
3140,1636,41
3141,1301,44
3143,987,73
3143,2182,64
3147,1516,68
3147,2216,2
3149,1072,68
3149,1197,27
3149,1311,40
3149,1622,33
3150,1313,105
3150,2155,67
3160,1326,15
3164,1333,1
3164,1525,41
3164,1591,52
3166,1604,135
3166,2169,2
3166,2186,1
3166,2861,49
3170,1002,1
3170,1344,3
3170,1975,21
3170,2159,11
3172,1346,20
3175,1105,36
3175,1663,98
3181,1106,25
3181,1143,48
3181,1197,156
3181,1326,68
3181,1357,40
3181,1358,52
3181,1548,7
3181,1613,38
3181,2150,39
3182,2118,2
3183,1359,54
3183,3481,4
3187,1401,2
3187,2134,8
3189,1222,28
3189,1342,182
3189,1567,113
3189,1668,42
3189,2175,3
3189,2192,49
3189,2204,4
3189,2320,29
3191,1697,54
3196,1523,2
3200,246,161
3200,1442,36
3200,2175,3
3203,994,35
3203,1637,2
3203,2160,38
3204,1291,118
3204,1386,40
3204,2938,84
3212,1397,33
3212,2206,1
3214,1400,41
3217,2216,1
3220,188,3
3220,1342,64
3220,2186,54
3220,2576,41
3220,3226,1
3223,2326,15
3224,1413,64
3226,1307,44
3226,1416,4
3226,2741,54
3235,1285,22
3235,1938,37
3236,1679,17
3237,988,45
3237,1807,44
3238,2280,44
3240,1125,27
3240,1637,1
3241,1437,138
3242,1369,23
3242,2222,3
3243,1092,15
3243,1223,204
3243,2697,165
3244,617,1
3244,1442,59
3246,750,28
3246,1445,52
3246,2139,60
3246,3641,1
3247,428,21
3247,873,22
3247,1447,37
3247,1793,44
3248,2270,24
3253,1410,19
3253,1736,34
3253,1820,33
3257,2331,8
3260,1364,54
3260,1468,42
3265,1475,28
3267,1479,28
3268,1090,1
3268,1234,26
3268,1480,34
3268,3028,54
3272,2063,32
3273,1626,1
3273,2134,4
3277,1493,3
3280,1714,3
3281,1498,38
3281,2068,66
3282,1959,4
3283,1406,2
3283,1480,34
3283,2128,54
3285,1293,17
3285,1626,1
3285,2325,77
3286,1929,14
3289,987,3
3289,1103,53
3289,1246,52
3289,1369,41
3289,1406,28
3289,1423,29
3289,1452,28
3289,1512,27
3289,2072,70
3289,2103,34
3289,2153,54
3290,1527,2
3292,1498,31
3292,1523,4
3292,2068,1
3292,2073,55
3292,2113,52
3292,2201,64
3293,1424,1
3293,1495,2
3293,1516,20
3301,2338,248
3304,1619,28
3304,2207,2
3304,2320,28
3304,2337,5
3309,1337,82
3309,2326,33
3309,2668,42
3310,1610,27
3310,2193,62
3311,1839,2
3314,1863,44
3318,2281,51
3319,1110,44
3319,1357,28
3319,1548,26
3319,2162,27
