id,name,lon,lat
1,line-38,113.93601424975503,22.282037431658857
2,line-37,113.95257778706744,22.297096221901302
3,line-4,113.95093731887074,22.31637349786323
4,line-281,114.18589949727891,22.37076927891493
5,line-278,114.14376321074465,22.500503075665385
6,line-289,114.21135697953969,22.4127085789741
7,line-282,114.18795986207375,22.381624527568803
8,line-285,114.1903359294091,22.399077794618858
9,line-95,114.13755417383831,22.259112325605997
10,line-6,113.93455958608548,22.27890147196924
11,line-95,114.15098224674827,22.24438157960795
12,line-6,113.95093731887074,22.31637349786323
13,line-36,114.06472593639273,22.43435309491715
14,line-373,114.14376321074465,22.500503075665385
15,line-37,114.00233501007799,22.458215196623254
16,line-39,113.94009851967164,22.29001908550212
17,line-42,114.14376321074465,22.500503075665385
18,line-40,114.24325694787333,22.42842561363975
19,line-33,113.98251269168507,22.413068652141487
20,line-43,114.14376321074465,22.500503075665385
21,line-293,114.1638495199579,22.316204497249988
22,line-260,114.1398466338665,22.337399401136615
23,line-30,114.03427018133347,22.445896852265566
24,line-31,114.11202043219932,22.36849014327821
25,line-260,113.96678068337292,22.37296319949479
26,line-269,114.1398956404182,22.337428413285817
27,line-42,114.22927675209982,22.419035377318167
28,line-216,114.18182370076698,22.303678362848355
29,line-47,114.16068105184829,22.45107760775847
30,line-373,114.150128587423,22.287874968518206
31,line-216,114.23850340059086,22.295545151897542
32,line-241,114.18182370076698,22.303678362848355
33,line-241,114.0963848829973,22.35752041214055
34,line-31,113.93752405642581,22.31260346638427
35,line-73,114.08194561615052,22.503259931177475
36,line-2,114.03388445241552,22.445902311332038
37,line-2,113.9452299113505,22.501652037939618
38,line-90,114.1578676106939,22.283522717367198
39,line-37,113.95257778706744,22.297096221901302
40,line-23,114.13216308085225,22.281680813517887
41,line-80,114.19429290844036,22.392801608456328
42,line-80,114.1772690483795,22.336869339600213
43,line-286,114.17088067541079,22.36301608924196
44,line-38,113.94024095817275,22.2895747002578
45,line-38,113.93601424975503,22.282037431658857
46,line-2,113.9452299113505,22.501652037939618
47,line-2,114.00685680406252,22.453626190186185
48,line-33,113.93752405642581,22.31260346638427
49,line-701,114.1566796232191,22.31882127342057
50,line-701,114.1472388685086,22.33215230744286
51,line-1,114.00155299686966,22.264669804709968
52,line-1,113.86237464014968,22.25272714309683
53,line-170,114.18782369839893,22.382092282475597
54,line-33,113.97547807794021,22.391576849627278
55,line-107,114.20788500704361,22.32191213465848
56,line-796,114.26008116368111,22.30716078820943
57,line-796,114.23132229824694,22.310744764802504
58,line-31,114.11116852809924,22.377665886947824
59,line-8,114.25097869528696,22.266379292262666
60,line-691,114.25290015300071,22.305268646650084
61,line-32,113.9410461338539,22.31653800605625
62,line-32,114.1264876640982,22.354822798012425
63,line-99,114.22849625586221,22.278391214064605
64,line-39,114.11623354021144,22.37419170303639
65,line-279,114.14376321074465,22.500503075665385
66,line-36,114.11659104866209,22.373961842214342
67,line-37,113.95257778706744,22.297096221901302
68,line-32,114.12878899747787,22.367238853821352
69,line-182,114.21456220580345,22.3830708279146
70,line-967,114.18235634950454,22.276880254849402
71,line-3,114.2247851123319,22.315052035991812
72,line-3,114.20039343886653,22.348663529521247
73,line-278,114.11202043219932,22.36849014327821
74,line-113,114.12846268865187,22.284583764228778
75,line-278,114.12774354610444,22.502320384739964
76,line-8,114.24210044601809,22.274078897133684
77,line-296,114.25963437998587,22.31086732979892
78,line-8,114.17567708793824,22.28167595911797
79,line-73,114.18871943011825,22.38214474404162
80,line-33,114.01596618618633,22.362758079035697
81,line-968,114.19161286041796,22.282774091131397
82,line-33,113.97817746489618,22.409918065280383
83,line-968,114.02515027548013,22.44550000714153
84,line-960,113.9686859140423,22.40616369624953
85,line-961,114.17432472933243,22.284050666741635
86,line-961,113.96612549035991,22.401471301301513
87,line-36,114.06270992697114,22.42049349857103
88,line-36,113.93752405642581,22.31260346638427
89,line-41,114.16074847419442,22.45500600654679
90,line-171,114.13732579048104,22.34150515622242
91,line-680,114.1504042060265,22.288222080241248
92,line-680,114.23872497437982,22.423818566550274
93,line-37,114.02714992993256,22.44945457214472
94,line-290,114.25186304592197,22.305842839997865
95,line-290,114.11090104041536,22.3681745259986
96,line-122,114.13991186490526,22.337039643624376
97,line-64,113.93626108214274,22.28194998315354
98,line-952,113.98067180970364,22.387455624687572
99,line-952,114.18975368618273,22.278740839283174
100,line-20,114.20217855857906,22.328811592064795
101,line-237,114.14021397335732,22.337092379908533
102,line-37,113.93752405642581,22.31260346638427
103,line-37,114.00233501007799,22.458215196623254
104,line-11,113.94009851967164,22.29001908550212
105,line-11,113.86237464014968,22.25272714309683
106,line-293,114.26653664722393,22.314641926214037
107,line-293,114.14048201027296,22.33694002359291
108,line-796,114.17433150023997,22.320286563200025
109,line-33,113.93317296620971,22.29752650512854
110,line-796,114.26831970490012,22.296054694668154
111,line-42,114.1960419236029,22.377570136550137
112,line-42,113.93752405642581,22.31260346638427
113,line-47,114.16068105184829,22.45107760775847
114,line-368,114.150128587423,22.287874968518206
115,line-37,113.93317296620971,22.29752650512854
116,line-368,114.02515027548013,22.44550000714153
117,line-8,114.19117282530769,22.28341479863257
118,line-41,114.0963848829973,22.35752041214055
119,line-283,114.21787583115798,22.381968416986343
120,line-213,114.22768743492853,22.32784984377635
121,line-281,114.23735625846038,22.42350358192844
122,line-281,114.18182370076698,22.303678362848355
123,line-22,113.94044815544049,22.316519890998403
124,line-31,114.11116852809924,22.377665886947824
125,line-293,114.25955846906918,22.31105314767684
126,line-30,113.93591427473974,22.316410501088754
