origin,dest,count
1955,1750,18
1956,2287,12
1958,1855,46
1962,1216,72
1962,1806,22
1962,2217,16
1965,1965,22
1966,1966,6
1968,1968,34
1973,1847,35
1973,1893,41
1976,1407,14
1976,1946,11
1982,1995,20
1984,1121,74
1990,2006,55
1994,1487,39
1994,1709,83
1994,1994,21
1995,1982,20
1998,1368,40
1998,1998,9
1999,1212,59
1999,1509,21
2001,2001,29
2003,1201,4
2003,1497,28
2003,2016,42
2007,3996,17
2009,2009,16
2011,2011,30
2013,2013,10
2014,2067,19
2015,1868,6
2023,2023,11
2028,2028,26
2031,1528,29
2031,1949,6
2031,2811,5
2042,3467,6
2042,3698,19
2043,1326,19
2043,2031,13
2043,2069,64
2045,2018,9
2047,2394,2
2048,2048,3
2049,2053,1
2050,332,111
2050,2032,28
2050,2301,6
2050,2325,55
2050,2863,34
2059,2059,11
2061,2061,8
2065,1477,41
2065,1889,9
2067,1561,85
2067,1767,10
2067,2014,19
2069,970,66
2069,2043,66
2069,2069,3
2069,3032,60
2070,803,2
2070,2393,1
2070,2456,21
2073,2073,12
2077,23,79
2077,695,2
2077,1791,45
2077,2077,7
2077,2228,34
2077,2321,46
2078,2078,93
2078,2090,113
2086,2101,31
2089,2087,17
2092,2092,80
2092,2783,52
2093,2093,1
2094,1881,27
2094,2094,12
2105,2105,2
2107,1418,65
2107,2107,33
2107,2110,9
2110,2107,9
2111,2111,4
2111,3275,43
2112,878,45
2112,891,119
2112,928,80
2112,2469,81
2114,2114,61
2115,3552,5
2123,98,65
2123,1252,39
2123,1324,227
2123,2123,11
2123,2902,57
2126,2126,31
2129,2085,4
2131,2131,12
2134,4004,7
2137,1367,33
2137,2132,9
2150,2982,54
2152,2152,7
2154,2104,32
2154,2157,5
2156,1444,41
2156,2156,14
2169,1854,74
2169,2024,9
2169,2217,29
2169,2338,14
2171,2171,4
2190,228,227
2190,2241,2
2197,1907,19
2197,2218,24
2229,2228,26
2229,2288,1
2230,1073,4
2230,1635,20
2230,2766,26
2239,2236,44
2239,2239,32
2239,2269,50
2242,275,113
2242,1577,113
2242,2300,2
2252,789,1
2259,1295,35
2259,1875,2
2259,2233,1
2259,2270,18
2260,705,1
2260,2261,2
2260,2338,5
2260,3801,5
2262,2262,1
2264,2263,3
2267,2331,4
2272,2167,25
2272,2272,47
2272,2287,50
2273,2120,7
2287,209,3
2287,1680,125
2287,1780,3
2287,1804,16
2287,1852,12
2287,1956,12
2287,2164,135
2287,2217,20
2287,2272,53
2287,2286,2
2287,2287,24
2287,2311,13
2288,2024,24
2288,2229,1
2288,2269,25
2288,2293,2
2298,495,2
2300,2242,2
2333,2138,22
2333,2340,1
2341,2235,10
2342,2452,1
2346,1295,37
2346,3130,14
2349,661,3
2349,1644,23
2349,2348,1
2355,2393,5
2359,38,12
2359,2334,24
2359,2361,5
2359,2451,22
2366,190,132
2366,4004,4
2371,835,122
2371,2371,1
2378,2413,1
2387,1266,44
2393,2070,1
2393,2355,5
2393,2451,1
2394,825,1
2397,2135,1
2397,2325,1
2397,2440,4
2397,2463,3
2397,2783,5
2397,3441,2
2401,2438,2
2408,140,63
2408,398,39
2408,486,25
2408,605,68
2408,2451,3
2408,2982,2
2420,2464,3
2429,2989,12
2429,4004,74
2432,2455,2
2436,2331,4
2436,2421,1
2436,2440,4
2440,776,42
2440,2397,4
2440,2436,4
2443,2464,1
2444,1042,29
2444,2447,2
2450,2421,1
2456,796,76
2456,2293,20
2456,2451,47
2456,2457,8
2456,2975,20
2456,2982,17
2460,2421,2
2460,2928,4
2466,2465,1
2467,2467,3
2467,2469,3
2469,2112,81
2469,2467,3
2473,2472,1
2474,2468,2
2484,113,71
2484,1907,45
2484,2186,1
2484,2217,1
2484,2484,84
2489,2057,21
2491,2077,79
2494,26,23
2495,2783,16
2502,871,7
2505,1337,1
2505,2314,1
2505,2463,1
2507,53,25
2508,54,25
2514,2039,48
2516,69,13
2517,2452,15
2518,2452,14
2525,1044,1
2526,2078,2
2527,82,6
2528,83,6
2531,3807,9
2535,91,3
2537,2458,71
2539,2468,46
2541,2123,65
2541,2339,1
2545,2164,47
2551,112,2
2552,2215,1
2563,1292,1
2563,2270,2
2564,2039,1
2566,3130,26
2579,2452,4
2581,2982,9
2596,533,26
2596,569,12
2596,820,13
2596,822,13
2596,1581,6
2605,191,2
2606,192,2
2607,2387,38
2610,2366,131
2612,335,2
2618,1746,2
2627,242,31
2630,2429,67
